Rank,Name,Lex,Con,List
23 ,不许没收我的人籍,可怜的夕夕|轻小说·原生幻想|连载, “她本来就是恶魔，怎么可能是遇到我这个人类之后才被带坏的？那些批评家总在说一些很荒唐的东西。”1798年，枢机主教兰奇在接受记者采访时，被问起与那位流亡的魔族末裔公主的过往，以及近期魔族复苏的迹象，他表示：“我为捍卫世界和平做出了太多努力，我很确信，魔族在她的带领下绝无复国可能。”……1802年冬天，魔族复国成功。【请根据以上材料，指出导致魔族复国的主要战犯是谁，并说明为什么是兰奇。（10分）】——选自《帝国历史统考经典考题集》 ,最新更新 第七百二十一章 兰奇的帝国成名之路·2024-05-15 21:10
24 ,万界守门人,烟火成城|科幻·星际文明|连载, 星球死亡，众神陨落。法界崩溃之后，人类失去了所有的庇护者。现在。“异常”与“灾祸”开始入侵人类世界。黑暗时代来临之际，一个来自蓝星的灵魂穿越而至。 ,最新更新 第三百一十六章 倒吊人的箴言·2024-05-16 07:11
25 ,都重生了谁考公务员啊,柳岸花又明|都市·都市生活|连载, 省直公务员陈着意外重生自己高三的那一年。于是，一个木讷腼腆、和女生说话都会脸红、只知道学习的高中生；突然变得通晓人情世故，说话做事总是恰到好处，不仅改变了人生轨迹，也越来越吸引女孩子的关注。女生：陈着你有什么优点？陈着：人老实，话不多。发小：我觉得骗人是不对的，你现在一点都不老实。陈着：没骗！人老，实话不多。（首先声明，绝对不是作者真实经历） ,最新更新 第149章、闻香识女人·2024-05-16 13:49
26 ,晋末长剑,孤独麦客|历史·两晋隋唐|连载, 正如唐代诗人徐夤在《两晋》诗中所写的那般：“三世深谋启帝基，可怜孀妇与孤儿。罪归成济皇天恨，戈犯明君万古悲。”西晋得国不正，犯了太多错误，继承了东汉、三国以来的种种弊端。到了晋末，已经积重难返，亟待重新构建帝国的价值观及统治体系。但是“谁知高鼻能知数，竞向中原簸战旗”，历史没有给他们这个机会。自作孽，不可活。穿越者来到逐渐崩溃的西晋末年，他所能做的是——先活下来。 ,最新更新 第一百七十四章 我徂安阳·2024-05-16 15:23
27 ,速通修仙！,平层|轻小说·原生幻想|连载, “长生，你得罪的是宗主的儿子，你一定要忍……你已经把他给杀了？”“长生，你这次任务的对象是天下第一大魔头的情人，我们徐徐图……你已经杀完了？”“长生，这家伙万年布局，后手无数，只差一步就能天下无敌，你务必要小心……你怎么又把他给杀了？”“长生，你飞升后不能和在下界一样肆无忌惮，一定要低调做人，漫天神佛我们得罪不起……你才飞升了一天，怎么就诸神黄昏了？”……半月飞升，半年成圣。速通修仙，快乐无边！ ,最新更新 第549章 大罗降价，母子夜话【20400月票加更】·2024-05-16 11:29
28 ,仙工开物,蛊真人|仙侠·修真文明|连载, 火山中，先贤大能遗留的机关仙宫，渴望着后继者。母亲舍命争取，获得仙宫宝印，临终托付宁拙。我佛心魔印！渡己为佛，渡人成魔。掌印者，轻刻心印，驭机关若羽。众人御之，神疲意重；宁拙则以一纵万，轻盈若舞。宁拙：“娘，孩儿一定不负您的嘱托，取得那仙宫！”正是：仙偶通灵秘，工巧合至理。开宇出新境，物华与天齐。古钟传法度，月下舞清辉。真身具万象，人间谁与敌！ ,最新更新 第54章：魔染·05-16 07:51
29 ,从水猴子开始成神,甲壳蚁|玄幻·东方玄幻|连载, 【已有完结六千均大精品，品质保障，放心阅读。】选择大于努力！武师们为陆地宝树打的头破血流，深水神草却无人问津。穿越成渔民的梁渠得水泽之鼎，炼化水猴子天赋，统御水兽，一路收割，踏上巅峰。【水猴子】→【泽狨】→【水王猿】→【淮涡水君】！从此万里泽涛由我做主！…………岸上，人们跪拜祈福，献上祭品。“求水神大人保佑......”靠，能不能别向我祭祀少女了，我真不是水神啊！ ,最新更新 第五百一十一章 满载而归·2024-05-16 02:33
30 ,我的爷爷朱元璋,西湖遇雨|历史·两宋元明|连载, 【哭坟后，朱元璋求我继承大明江山】高三学生朱雄英有个秘密，他小时候生活在古代！原本他会带着这个秘密度过普通人的一生，直到上大学前他给监护人爷爷哭坟的时候，坟头传来了一个激动的声音。“——大孙，你没死啊？”朱雄英：“你说你是我爷爷？我还秦始皇呢，打钱！”朱元璋：“要打钱？烧宝钞过去！要多少给多少！”当朱雄英看着宝钞被古董商收购的时候，他终于意识到，坟头的时空虫洞可以扭曲物体的时间属性！那么是不是意味着......“老板，给我来一箱98岁的98k！不够岁数别糊弄我！”“你这还有老物件博物馆里的复刻蒸汽机？来两台！”随着先进的“地下科技产物”和神秘的“未来天机信息”通过时空虫洞交易到了朱元璋手中，数年后，看着已经发生了翻天覆地变化的大明，朱元璋陷入了沉思。“大孙，你啥时候来继承咱的万里江山啊？” ,最新更新 第229章 大受震撼的日本南朝使团·2024-05-16 09:27
31 ,国民法医,志鸟村|都市·商战职场|连载, 尸体：请问你礼貌吗？ ,最新更新 第九百七十八章 徐进·2024-05-15 10:45
32 ,普罗之主,沙拉古斯|玄幻·东方玄幻|连载, 他叫李伴峰，山峰的峰，不是发疯的疯，医生说过他没有疯。为了救朋友一条命，他去了96号站台，上了1160蒸汽列车，来到了停留在蒸汽时代的普罗州。他遇到了老唱机里的红颜知己，月份牌里的绝世佳丽，老座钟里的摇摆名姝，酒葫芦里的世外高人。这里有越吃越猛的食修，越抽越强的烟修，越杀越狠的武修，越喝越狂的酒修。这里有哪都想去的旅修，还有哪都不想去的宅修。天下百门，谁与争锋。普罗万修，谁是魁首。伴峰穿上西装，戴上礼帽，拿上鸡毛掸子，认真问了一句：告诉我，谁是普罗之主？ ,最新更新 第四百四十八章 葛俊蟆·2024-05-16 16:00
